Player,Season,Team,Position,GP,TOI,TM #,TOI/GP,TOI%,RAPM_CA/60,RAPM_xGA/60,GAR/60,xGAR/60
Antoine Roussel,21-22,ARI,L,53,541.05,37,14.17,28.13,-2.58,-0.147,-0.11,-0.07
Anton Blidh,21-22,BOS,L,32,312.72,31,13.68,27.67,1.05,0.061,0.18,0.16
Anton Blidh,22-23,COL,L,14,91.57,27,12.86,25.98,0.14,0.031,0.01,0.1
Anton Lundell,21-22,FLA,C,65,808.57,32,14.63,29.58,3.22,0.169,0.43,0.43
Anton Lundell,22-23,FLA,C,73,899.62,28,14.48,30.29,2.67,0.115,0.27,0.31
Anton Lundell,23-24,FLA,C,78,990.45,27,14.16,29.47,3.65,0.106,0.18,0.23
Anton Lundell,24-25,FLA,C,79,1024.37,29,14.73,29.55,1.59,0.041,0.13,0.17
Anton Lundell,25-26,FLA,C,38,506.47,23,14.89,31.1,1.44,0.083,0.31,0.31
Anze Kopitar,21-22,L.A,C,81,1233.08,34,15.04,30,1.99,0.041,0.13,0.17
Anze Kopitar,22-23,L.A,C,82,1219.57,29,15.26,30.84,1.49,0.06,0.27,0.26
Anze Kopitar,23-24,L.A,C,81,1133.22,25,15.1,30.63,2.97,0.096,0.29,0.28
Anze Kopitar,24-25,L.A,C,81,1162.23,26,15.2,30.14,1.78,0.094,0.37,0.31
Anze Kopitar,25-26,L.A,C,34,463.75,19,14.68,29.7,0.8,-0.008,0.18,0.17
Arseny Gritsyuk,25-26,N.J,R,34,471.38,27,15.32,30.03,0.07,-0.025,0.18,0.15
Arshdeep Bains,23-24,VAN,L,8,87.98,20,14.64,29.88,1.91,0.079,0.31,0.27
Arshdeep Bains,24-25,VAN,L,13,126.15,29,14.85,29.56,0.77,0.026,0.23,0.24
Arshdeep Bains,25-26,VAN,L,26,223.95,29,13.63,27.9,0.01,-0.068,0,0.17
Artemi Panarin,21-22,NYR,C/L,75,1175.65,30,15.28,30.18,0.55,0.01,0.16,0.2
Artemi Panarin,22-23,NYR,L,82,1267.52,29,15.27,30.3,0.28,0.008,0.17,0.16
Artemi Panarin,23-24,NYR,L,82,1299.62,31,15.8,31.64,1.17,0.002,0.26,0.14
Artemi Panarin,24-25,NYR,L,80,1267.23,34,15.47,30.89,0.43,-0.043,0.14,0.11
Artemi Panarin,25-26,NYR,L,40,666.9,25,15.83,31.16,-0.06,0.015,0.22,0.15
Arthur Kaliyev,21-22,L.A,R,80,842.17,35,14.04,28.01,1.34,0.03,0.18,0.13
Arthur Kaliyev,22-23,L.A,R,56,528.42,27,13.88,28,0.86,0.033,0.25,0.23
Arthur Kaliyev,23-24,L.A,R,51,522.97,24,14.12,28.61,1.51,0.059,0.17,0.11
Arthur Kaliyev,24-25,NYR,R,14,152.65,24,14.24,28.46,-0.71,-0.038,0.08,0.12
